"address","name","chain","fee"
"0x84ca8bc7997272c7cfb4d0cd3d55cd942b3c9419","DIA","dia",6.7819012
"0xB528edBef013aff855ac3c50b381f253aF13b997","AEVO","aevo",62.352216
"CORE_core","CORE","core",0.04
"0x4200000000000000000000000000000000000042","OP","optop",1.5
"GJtJuWD9qYcCkrwMBmtY1tpapV1sKfB2zUv9Q4aqpump","RIF","rif",2139.1663
"AB_newton","AB","newton",21.0
"0x2a9bDCFF37aB68B95A53435ADFd8892e86084F93","AQT","aqt",5.1621393
"KAIA_klay","KAIA","klay",0.03
"0x5E0E90E268BC247Cc850c789A0DB0d5c7621fb59","NXPC","avaxnxpc",1.4253
"0x04Fa0d235C4abf4BcF4787aF4CF447DE572eF828","UMA","uma",10.70367
"0xd1d2Eb1B1e90B638588728b4130137D262C87cae","GALA","erc20gala2",369.92894
"TLZSucJRjnqBKwvQz6n5hd29gbS4P7u7w8","USDC","trc20usdc1",0.5001
"Grass7B4RdKfBCjTKgSqnXkqjwiGvQyFbuSCUJr3XXjs","GRASS","grass",5.123
"0x311434160D7537be358930def317AfB606C0D737","NAKA","naka",0.0547
"NULS_nuls1","NULS","nuls1",0.01
"TPFqcBAaaUMCSVRCqPaQ9QnzKhmuoLR6Rc","USD1","trc20usd1",0.4997
"rats","RATS","rats",885678.21
"0xd402298a793948698b9a63311404FBBEe944eAfD","SHRAP","shrap",212.1988
"orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE","ORCA","orca",1.2819
"0xfAbA6f8e4a5E8Ab82F62fe7C39859FA577269BE3","ONDO","ondo",5.4739425
"XPRT_xprt","XPRT","xprt",0.1
"DriFtupJYLTosbwoN8koMbEYSx54aFAVLddWsbksjwg7","DRIFT","drift",4.7311
"S_sonic","S","sonic",0.001
"0x42bbfa2e77757c645eeaad1655e0911a7553efbc","BOBA","boba",61.737938
"0x761d38e5ddf6ccf6cf7c55759d5210750b5d60f3","ELON","elon",52517428.0
"0x0fc2a55d5BD13033f1ee0cdd11f60F7eFe66f467","LA","la",10.47582
"0xD0eC028a3D21533Fdd200838F39c85B03679285D","NEWT","newt",26.610106
"0x3f80B1c54Ae920Be41a77f8B902259D48cf24cCf","KERNEL","kernel",24.391446
"APT_apt","APT","apt",0.01
"0x7d5121505149065b562c789a0145ed750e6e8cdd","VR","vr",838.03892
"0x9702230a8ea53601f5cd2dc00fdbc13d4df4a8c7","USDT","cchainusdt",0.21
"TXL6rJbvmjD46zeN1JssfgxvSo99qC8MRT","SUNDOG","sundog",26.2054
"0xE3086852A4B125803C815a158249ae468A3254Ca","MFER","mfer",20.0
"0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984","UNI","uni",1.89217
"0x6b3595068778dd592e39a122f4f5a5cf09c90fe2","SUSHI","sushi",23.026405
"9PR7nCP9DpcUotnDPVLUBUZKu5WAYkwrCUx9wDnSpump","BAN","ban",27.3633
"0x1337420dED5ADb9980CFc35f8f2B054ea86f8aB1","SQD","sqd",0.7021
"0x419D0d8BdD9aF5e606Ae2232ed285Aff190E711b","FUN","erc20fun",1233.6514
"ONT_ont2","ONT","ont2",1.0
"61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump","ARC","arc",142.7915
"2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump","PNUT","pnut",14.489
"0x3c3a81e81dc49A522A592e7622A7E711c06bf354","MNT","mnt1",2.5212911
"9DHe3pycTuymFk4H4bbPoAJ4hQrr2kaLDF6J6aAKpump","BUZZ","buzz",502.8005
"0xed9Ae3DEF8d6F052971Bb8b6d1975FF267Cf9aaD","BLUAI","bscbluai",85.322327
"0xc08cd26474722ce93f4d0c34d16201461c10aa8c","CARV","basecarv",3.5
"0x20d6015660b3fe52e6690a889b5C51F69902cE0e","GIGGLE","bscgiggle",0.00579139
"0x12970E6868f88f6557B76120662c1B3E50A646bf","LADYS","ladys",219178030.0
"Ai3eKAWjzKMV8wRwd41nVP83yqfbAVJykhvJVPxspump","MOONPIG","moonpig",2008.7409
"0x431ad2ff6a9c365805ebad47ee021148d6f7dbe0","DF","df",219.60245
