"address","name","chain","fee"
"0x44ec807ce2f4a6f2737a92e985f318d035883e47","HFT","BSC",0.2
"91hncoA32mVbFinNJHdwLMMmPQNbZ7n9GZw187zvfuJA","HFT","SOL",12.0
"FIO_FIO","FIO","FIO",8.0
"ETH_ARBITRUM","ETH","ARBITRUM",4e-05
"0x9702230a8ea53601f5cd2dc00fdbc13d4df4a8c7","USDT","AVAXC",0.079
"ASTR_ASTR","ASTR","ASTR",2.0
"0x1c954e8fe737f99f68fa1ccda3e51ebdb291948c","KNC","MATIC",0.017
"0xac23b90a79504865d52b49b327328411a23d4db2","FF","BSC",0.22
"0xc5f0f7b66764f6ec8c8dff7ba683102295e16409","FDUSD","BSC",0.02
"ATOM_ATOM","ATOM","ATOM",0.02
"WCTk5xWdn5SYg56twGj32sUF3W4WFQ48ogezLBuYTBY","WCT","SOL",2.1
"SCRT_SCRT","SCRT","SCRT",0.1
"0x1ba42e5193dfa8b03d15dd1b86a3113bbbef8eeb","ZEC","BSC",9.3e-05
"2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump","PNUT","SOL",5.67
"0x5e0e90e268bc247cc850c789a0db0d5c7621fb59","NXPC","AVAXC",0.21
"0x1188d953afc697c031851169eef640f23ac8529c","AUCTION","BSC",0.0018
"0xa40640458fbc27b6eefedea1e9c9e17d4cee7a21","AEUR","BSC",0.8
"VET_VET","VET","VET",3.0
"0x5a5fff6f753d7c11a56a52fe47a177a87e431655","SYN","OPTIMISM",0.32
"0xf81ac2e1a0373dde1bce01e2fe694a9b7e3bfcb9","XUSD","BSC",0.1
"0xf307910a4c7bbc79691fd374889b36d8531b08e3","ANKR","BSC",1.15
"0x15247e6e23d3923a853ccf15940a20ccdf16e94a","ZKC","BSC",0.15
"0xa2e3356610840701bdf5611a53974510ae27e2e1","WBETH","BSC",3.7e-06
"0x8700daec35af8ff88c16bdf0418774cb3d7599b4","SNX","OPTIMISM",0.065
