"address","name","chain","fee"
"0xc2132d05d31c914a87c6611c10748aeb04b58e8f","USDT","USDT-Polygon",0.8
"0x6e84a6216eA6dACC71eE8E6b0a5B7322EEbC0fDd","JOE","JOE-Avalanche C-Chain",2.0
"0xa715f624eb32c6c960b0e044b10cde585d5f5984","XRP","XRPK-OKTC",0.0
"ORDI_ORDI-BRC20","ORDI","ORDI-BRC20",0.67
"0x6894CDe390a3f51155ea41Ed24a33A4827d3063D","CAT","CAT-BSC",20000.0
"4LLbsb5ReP3yEtYzmXewyGjcir5uXtKFURtaEUVC2AHs","PRCL","PRCL-Solana",24.14157973
"ETH_ETH-ERC20","ETH","ETH-ERC20",0.00015
"SUI_SUI-SUI","SUI","SUI-SUI",0.06
"0xd1d2eb1b1e90b638588728b4130137d262c87cae","GALA","GALA-ERC20",363.2
"0x320623b8e4ff03373931769a31fc52a4e78b5d70","RSR","RSR-ERC20",106.63
"0x0d8775f648430679a709e98d2b0cb6250d2887ef","BAT","BAT-ERC20",3.5
"ATOM_ATOM-Cosmos","ATOM","ATOM-Cosmos",0.016
"TNSRxcUxoT9xBG3de7PiJyTDYu7kskLqcpddxnEJAS6","TNSR","TNSR-Solana",14.57114228
"0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9","USDT","USDT-Arbitrum One",0.098
"0xfa520efc34c81bfc1e3dd48b7fe9ff326049f986","LTC","LTCK-OKTC",0.0
"HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3","PYTH","PYTH-Solana",8.66971382
"0xdefa4e8a7bcba345f687a2f1456f5edd9ce97202","KNC","KNC-ERC20",1.99
"DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263","BONK","BONK-Solana",108038.64181271
"GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump","ACT","ACT-Solana",28.0
"0x714db550b574b3e927af3d93e26127d15721d4c2","GMT","GMT-Polygon",1.0
"0xa35923162c49cf95e6bf26623385eb431ad920d3","TURBO","TURBO-ERC20",251.3
"ETH_ETH-Linea","ETH","ETH-Linea",3e-05
"0x37a645648df29205c6261289983fb04ecd70b4b3","ANIME","ANIME-Arbitrum One",0.79433076
"native:GDN4U3BDFVMK74IJ46GXEN5ZDRA5QIJQF6TM3NBJIG4IQW2RDGYXSMRN","XLM","XLM-Stellar Lumens",0.016
"0x1E4a5963aBFD975d8c9021ce480b42188849D41d","USDT","USDT-X Layer",0.0
"BNB_BNB-BSC","BNB","BNB-BSC",0.0002
"Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB","USDT","USDT-Solana",1.0
"TFczxzPhnThNSqr5by8tvxsdCFRRz6cPNq","NFT","NFT-TRC20",80000.0
"0x93d84ff2c5f5a5a3d7291b11af97679e75eeac92","SPURS","SPURS-Chiliz Chain",1.0
"DYDX_DYDX-DYDX","DYDX","DYDX-DYDX",0.03
"0x4d2d32d8652058bf98c772953e1df5c5c85d9f45","DAO","DAO-BSC",0.2
"0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7","ETH","ETH-Starknet",9.5e-05
"MINA_MINA-Mina","MINA","MINA-Mina",0.72
" ","ETH","ETH-Optimism",4e-05
"0x3f382dbd960e3a9bbceae22651e88158d2791550","GHST","GHST-ERC20",1.93
"0x54e4622dc504176b3bb432dccaf504569699a7ff","BTC","BTCK-OKTC",0.0
"0xd29687c813d741e2f938f4ac377128810e217b1b","SCR","SCR-Scroll",0.5
"0x94b008aa00579c1307b0ef2c499ad98a8ce58e58","USDT","USDT-Optimism",0.15
"0xf0151f528127558851b39c2cd8aa47da7418ab28","FLM","FLM-N3",1.0
"ADA_ADA-Cardano","ADA","ADA-Cardano",0.8
"JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN","JUP","JUP-Solana",3.97684594
"1E+38","ONT","ONT-Ontology",1.0
"jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL","JTO","JTO-Solana",1.25362068
"EQCxE6mUtQJKFnGfaROTKOt1lZbDiiX1kCixRv7Nw2Id_sDs","USDT","USDT-TON",0.15
"0xdA5e1988097297dCdc1f90D4dFE7909e847CBeF6","WLFI","WLFI-ERC20",20.0
"0x4f9254c83eb525f9fcf346490bbb3ed28a81c667","CELR","CELR-ERC20",104.27
"7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx","GMT","GMT-Solana",41.53589747
"0x172370d5cd63279efa6d502dab29171933a610af","CRV","CRV-Polygon",0.01
"INJ_INJ-INJ","INJ","INJ-INJ",0.008
"0x4ed4e862860bed51a9570b96d89af5e1b0efefed","DEGEN","DEGEN-Base",0.5
"0xbe0Ed4138121EcFC5c0E56B40517da27E6c5226B","ATH","ATH-ERC20",50.0
"ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82","BOME","BOME-Solana",1163.36002888
"METIS_METIS-Metis","METIS","METIS-Metis",0.01
"0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","USDT-ERC20",0.59
"SOPH_SOPH-Sophon","SOPH","SOPH-Sophon",0.75
"0xed04915c23f00a313a544955524eb7dbd823143d","ACH","ACH-ERC20",46.56
"0x9560e827aF36c94D2Ac33a39bCE1Fe78631088Db","VELODROME","VELODROME-Optimism (V2)",2.0
"0x12bb890508c125661e03b09ec06e404bc9289040","RACA","RACA-BSC",100.0
"CORE_CORE-CORE","CORE","CORE-CORE",0.001
"POL_POL-Polygon","POL","POL-Polygon",0.1
"0x30d20208d987713f46dfd34ef128bb16c404d10f","SD","SD-ERC20",1.37
"0xec53bf9167f50cdeb3ae105f56099aaab9061f83","EIGEN","EIGEN-ERC20",2.0
"EQCvxJy4eG8hyHBFsZ7eePxrRsUQSFE_jpptRAYBmcG_DOGS","DOGS","DOGS-TON",50.0
"DJ7vji2BU7RjNgktPAKN4L42CiXTFHEt4Eeeyr5FiTmy","ASP","ASP-Solana",10.0
"ICP_ICP-Dfinity","ICP","ICP-Dfinity",0.00024
"0xbc396689893d065f41bc2c6ecbee5e0085233447","PERP","PERP-ERC20",2.8
"0xdf54b6c6195ea4d948d03bfd818d365cf175cfc2","OKB","OKB-OKTC",0.0
"FLOW_FLOW-FLOW","FLOW","FLOW-FLOW",0.0
"0x80c62fe4487e1351b47ba49809ebd60ed085bf52","CLV","CLV-ERC20",45.61
"ETC_ETC-Ethereum Classic","ETC","ETC-Ethereum Classic",0.008
"0x9d65ff81a3c488d585bbfb0bfe3c7707c7917f54","SSV","SSV-ERC20",0.05
"VELO:GDM4RQUQQUVSKQA7S6EM7XBZP3FCGH4Q7CL6TABQ7B2BEJ5ERARM2M5M","VELO","VELO-Stellar Lumens",40.0
"0x912ce59144191c1204e64559fe8253a0e49e6548","ARB","ARB-Arbitrum One",0.02
"XPL_XPL-Plasma","XPL","XPL-Plasma",1.2e-06
"ZETA_ZETA-ZetaChain","ZETA","ZETA-ZetaChain",0.001
"G_G-Gravity Alpha Mainnet","G","G-Gravity Alpha Mainnet",1e-06
"0x6c5ba91642f10282b576d91922ae6448c9d52f4e","PHA","PHA-ERC20",10.4
"0x04fa0d235c4abf4bcf4787af4cf447de572ef828","UMA","UMA-ERC20",0.54
"0x696f9436b67233384889472cd7cd58a6fb5df4f1","AVNT","AVNT-Base",1.0
"ICX_ICX-ICON","ICX","ICX-ICON",0.016
