Coin ID,Target Exchange,Address,Coin Name,Network,Fee
88,kucoin,0x4200000000000000000000000000000000000042,OP,OP-Optimism,0.1
88,htx,0x4200000000000000000000000000000000000042,OP,OP-Optimism,0.1
109,binance,rndrizKT3MK1iimdxRdWabcF7Zg7AR5T4nud4EkHBof,RENDER,RENDER-Solana,0.90835513
109,bitget,rndrizKT3MK1iimdxRdWabcF7Zg7AR5T4nud4EkHBof,RENDER,RENDER-Solana,0.90835513
109,kucoin,rndrizKT3MK1iimdxRdWabcF7Zg7AR5T4nud4EkHBof,RENDER,RENDER-Solana,0.90835513
109,htx,rndrizKT3MK1iimdxRdWabcF7Zg7AR5T4nud4EkHBof,RENDER,RENDER-Solana,0.90835513
118,binance,WLFinEv6ypjkczcS83FZqFpgFZYwQXutRbxGe7oC16g,WLFI,WLFI-Solana,10.0
118,kucoin,WLFinEv6ypjkczcS83FZqFpgFZYwQXutRbxGe7oC16g,WLFI,WLFI-Solana,10.0
118,htx,0xdA5e1988097297dCdc1f90D4dFE7909e847CBeF6,WLFI,WLFI-ERC20,20.0
124,binance,KMNo3nJsBXfcpJTVhZcXLW7RmTwTt4GVFE7suUBo9sS,KMNO,KMNO-Solana,15.89867004
124,bitget,KMNo3nJsBXfcpJTVhZcXLW7RmTwTt4GVFE7suUBo9sS,KMNO,KMNO-Solana,15.89867004
124,kucoin,KMNo3nJsBXfcpJTVhZcXLW7RmTwTt4GVFE7suUBo9sS,KMNO,KMNO-Solana,15.89867004
132,binance,EQCvxJy4eG8hyHBFsZ7eePxrRsUQSFE_jpptRAYBmcG_DOGS,DOGS,DOGS-TON,50.0
132,bitget,EQCvxJy4eG8hyHBFsZ7eePxrRsUQSFE_jpptRAYBmcG_DOGS,DOGS,DOGS-TON,50.0
132,kucoin,EQCvxJy4eG8hyHBFsZ7eePxrRsUQSFE_jpptRAYBmcG_DOGS,DOGS,DOGS-TON,50.0
134,binance,0x1789e0043623282d5dcc7f213d703c6d8bafbb04,LINEA,LINEA-Linea,10.0
134,bitget,0x1789e0043623282d5dcc7f213d703c6d8bafbb04,LINEA,LINEA-Linea,10.0
134,kucoin,0x1789e0043623282d5dcc7f213d703c6d8bafbb04,LINEA,LINEA-Linea,10.0
141,binance,0xd2a4cff31913016155e38e474a2c06d08be276cf,GAS,GAS-N3,0.1
141,bitget,0xd2a4cff31913016155e38e474a2c06d08be276cf,GAS,GAS-N3,0.1
141,kucoin,0xd2a4cff31913016155e38e474a2c06d08be276cf,GAS,GAS-N3,0.1
142,binance,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,BOME,BOME-Solana,1163.36002888
142,bitget,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,BOME,BOME-Solana,1163.36002888
142,kucoin,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,BOME,BOME-Solana,1163.36002888
142,htx,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,BOME,BOME-Solana,1163.36002888
146,binance,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,BONK,BONK-Solana,108038.64181271
146,bitget,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,BONK,BONK-Solana,108038.64181271
146,kucoin,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,BONK,BONK-Solana,108038.64181271
146,htx,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,BONK,BONK-Solana,108038.64181271
149,binance,EQAJ8uWd7EBqsmpSWaRdf_I-8R8-XHwh3gsNKhy-UrdrPcUo,HMSTR,HMSTR-TON,30.0
149,bitget,EQAJ8uWd7EBqsmpSWaRdf_I-8R8-XHwh3gsNKhy-UrdrPcUo,HMSTR,HMSTR-TON,30.0
149,kucoin,EQAJ8uWd7EBqsmpSWaRdf_I-8R8-XHwh3gsNKhy-UrdrPcUo,HMSTR,HMSTR-TON,30.0
157,binance,HUMA1821qVDKta3u2ovmfDQeW2fSQouSKE8fkF44wvGw,HUMA,HUMA-Solana,48.60000004
157,bitget,HUMA1821qVDKta3u2ovmfDQeW2fSQouSKE8fkF44wvGw,HUMA,HUMA-Solana,48.60000004
157,kucoin,HUMA1821qVDKta3u2ovmfDQeW2fSQouSKE8fkF44wvGw,HUMA,HUMA-Solana,48.60000004
159,binance,EQD-cvR0Nz6XAyRBvbhz-abTrRC6sI5tvHvvpeQraV9UAAD7,CATI,CATI-TON,0.04
159,bitget,EQD-cvR0Nz6XAyRBvbhz-abTrRC6sI5tvHvvpeQraV9UAAD7,CATI,CATI-TON,0.04
159,kucoin,EQD-cvR0Nz6XAyRBvbhz-abTrRC6sI5tvHvvpeQraV9UAAD7,CATI,CATI-TON,0.04
168,binance,0x357b0b74bc833e95a115ad22604854d6b0fca151cecd94111770e5d6ffc9dc2b,USDT,USDT-Aptos,0.03
168,bitget,0x357b0b74bc833e95a115ad22604854d6b0fca151cecd94111770e5d6ffc9dc2b,USDT,USDT-Aptos,0.03
168,kucoin,0x357b0b74bc833e95a115ad22604854d6b0fca151cecd94111770e5d6ffc9dc2b,USDT,USDT-Aptos,0.03
168,htx,0xB8CE59FC3717ada4C02eaDF9682A9e934F625ebb,USDT,USDT-Plasma,0.0001
183,binance,0x37a645648df29205c6261289983fb04ecd70b4b3,ANIME,ANIME-Arbitrum One,0.79433076
183,bitget,0x37a645648df29205c6261289983fb04ecd70b4b3,ANIME,ANIME-Arbitrum One,0.79433076
183,kucoin,0x37a645648df29205c6261289983fb04ecd70b4b3,ANIME,ANIME-Arbitrum One,0.79433076
188,binance,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,RAY,RAY-Solana,0.39
188,bitget,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,RAY,RAY-Solana,0.39
188,kucoin,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,RAY,RAY-Solana,0.39
188,htx,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,RAY,RAY-Solana,0.39
194,binance,0x714db550b574b3e927af3d93e26127d15721d4c2,GMT,GMT-Polygon,1.0
194,bitget,0x714db550b574b3e927af3d93e26127d15721d4c2,GMT,GMT-Polygon,1.0
194,kucoin,7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx,GMT,GMT-Solana,41.53589747
194,htx,7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx,GMT,GMT-Solana,41.53589747
195,binance,0xfc5a1a6eb076a2c7ad06ed22c90d7e710e35ad0a,GMX,GMX-Arbitrum One,0.01
195,bitget,0xfc5a1a6eb076a2c7ad06ed22c90d7e710e35ad0a,GMX,GMX-Arbitrum One,0.01
195,kucoin,0xfc5a1a6eb076a2c7ad06ed22c90d7e710e35ad0a,GMX,GMX-Arbitrum One,0.01
208,binance,GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,ACT,ACT-Solana,28.0
208,bitget,GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,ACT,ACT-Solana,28.0
208,kucoin,GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,ACT,ACT-Solana,28.0
208,htx,GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,ACT,ACT-Solana,28.0
225,kucoin,0xc944e90c64b2c07662a292be6244bdf05cda44a7,GRT,GRT-ERC20,9.3
225,htx,0xc944e90c64b2c07662a292be6244bdf05cda44a7,GRT,GRT-ERC20,9.3
252,binance,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,PNUT,PNUT-Solana,6.83070422
252,bitget,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,PNUT,PNUT-Solana,6.83070422
252,kucoin,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,PNUT,PNUT-Solana,6.83070422
252,htx,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,PNUT,PNUT-Solana,6.83070422
260,bitget,0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7,ETH,ETH-Starknet,9.5e-05
262,binance,0xef4073a0f2b305a38ec4050e4d3d28bc40ea63f5,NEO,NEO-N3,0.01
262,bitget,0xef4073a0f2b305a38ec4050e4d3d28bc40ea63f5,NEO,NEO-N3,0.01
262,kucoin,0xef4073a0f2b305a38ec4050e4d3d28bc40ea63f5,NEO,NEO-N3,0.01
280,binance,0x539bde0d7dbd336b79148aa742883198bbf60342,MAGIC,MAGIC-Arbitrum One,0.0872885
280,bitget,0x539bde0d7dbd336b79148aa742883198bbf60342,MAGIC,MAGIC-Arbitrum One,0.0872885
280,kucoin,0x539bde0d7dbd336b79148aa742883198bbf60342,MAGIC,MAGIC-Arbitrum One,0.0872885
288,binance,HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3,PYTH,PYTH-Solana,8.66971382
288,bitget,HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3,PYTH,PYTH-Solana,8.66971382
288,kucoin,HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3,PYTH,PYTH-Solana,8.66971382
288,htx,HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3,PYTH,PYTH-Solana,8.66971382
295,binance,0x912ce59144191c1204e64559fe8253a0e49e6548,ARB,ARB-Arbitrum One,0.02
295,bitget,0x912ce59144191c1204e64559fe8253a0e49e6548,ARB,ARB-Arbitrum One,0.02
295,kucoin,0x912ce59144191c1204e64559fe8253a0e49e6548,ARB,ARB-Arbitrum One,0.02
299,binance,pumpCmXqMfrsAkQ5r49WcJnRayYRqmXz6ae8H7H9Dfn,PUMP,PUMP-Solana,240.1175454
